consecutivo;genero;fecha_nac;carrera;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
22;Femenino;22/02/2002;Ingenieria de Sistemas E Informatica;4.3;2;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capitulo del libro texto.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;7
23;Masculino;15/05/1999;Ingenieria de Sistemas E Informatica;3.7;3;No;propio.;propio.;propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;7
24;Masculino;11/08/1993;Estadistica;3.0;2;No;propio.;alquilado;propio.;Fue fabricado en un laboratorio.;Si;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
25;Masculino;29/05/2000;Estadistica;4.0;1;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Trasnocha estudiando para un examen.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
26;Masculino;19/07/1982;Ingenieria de Sistemas E Informatica;3.2;3;propio.;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;2
27;Masculino;6/03/2020;Estadistica;3.0;3;No;prestado.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
28;Femenino;19/10/1996;Ingenieria Fisica;3.6;4;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Algunas veces estudia solo otras veces con amigos.;Madruga a estudiar.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
29;Masculino;4/07/2000;Ingenieria de Sistemas E Informatica;3.8;2;No;propio.;familiar;propio.;NA;Si;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
30;Masculino;8/12/2020;Ingenieria de Sistemas E Informatica;3.7;2;propio.;No;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;7
31;Masculino;6/12/2000;Estadistica;NA;2;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Lee varias veces un mismo capitulo del libro texto.;Estudia con amigos.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;8
